tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,semantics,description,profiles,visible,label,computed,refLabel,defaultValue
Contacts,,display name,,,TRUE,,,,,,"foaf:name,vcard:hasName,vcard:fn",Display name of the contact person,DataCatalogueFlat,,,firstName+' '+lastName,,
Contacts,,prefix,,,,,,,,,,"Surname prefix, if applicable","DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging,UMCGCohortsStaging,UMCUCohorts,INTEGRATE,FAIR Genomes",,,,,
Contacts,,initials,,,,,,,,,,Initials of the contact person,"DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging,UMCGCohortsStaging,UMCUCohorts,INTEGRATE,FAIR Genomes",,,,,
Contacts,,title,ontology,,,CatalogueOntologies,Titles,,,,foaf:title,Title of the contact person,"DataCatalogueFlat,EMA,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging,UMCGCohortsStaging,UMCUCohorts,INTEGRATE,FAIR Genomes",,,,,
Contacts,,organisation,ref,,,,Organisations,resource,,,foaf:Organization,Affiliated organisation of the contact person,"DataCatalogueFlat,EMA,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging,UMCGCohortsStaging,UMCUCohorts,INTEGRATE",,,,,
Contacts,,email,email,,if(resource?.hricore === true) 'This field is mandatory for HRICore compatibility',,,,,,"vcard:hasEmail,foaf:mbox",Contact's email address,"DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging,UMCGCohortsStaging,UMCUCohorts,INTEGRATE,FAIR Genomes",,,,,
Contacts,,orcid,,,,,,,,,dcterms:identifier,Orcid of the contact person,"DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging,UMCGCohortsStaging,UMCUCohorts,INTEGRATE",,,,,
Contacts,,homepage,hyperlink,,,,,,,,"vcard:url,foaf:workplaceHomepage,vcard:hasURL",Link to contact's homepage,"DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging,UMCGCohortsStaging,UMCUCohorts,INTEGRATE",,,,,
Contacts,,photo,file,,,,,,,,foaf:img,Contact's photograph,"DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging,UMCGCohortsStaging",,,,,
Contacts,,expertise,,,,,,,,,,Description of contact's expertise,"DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging,UMCGCohortsStaging,INTEGRATE",,,,,
Dataset mappings,,,,,,,,,,,,Mappings from collected or source datasets to harmonised or target datasets,"DataCatalogueFlat,CohortsStaging,RWEStaging,StudiesStaging",,,,,
Dataset mappings,,source,ref,1,TRUE,,Resources,,,,,Id of the resource being mapped from,"DataCatalogueFlat,CohortsStaging,RWEStaging,StudiesStaging",,,,,
Dataset mappings,,source dataset,ref,1,TRUE,,Datasets,source,,,,Name of the dataset being mapped from,"DataCatalogueFlat,CohortsStaging,RWEStaging,StudiesStaging",,,,,
Dataset mappings,,target,ref,1,TRUE,,Resources,,,,,Network being mapped to,"DataCatalogueFlat,RWEStaging,StudiesStaging",,,,,
Dataset mappings,,target dataset,ref,1,TRUE,,Datasets,target,,,,"Name of the dataset being mapped to, or harmonised with","DataCatalogueFlat,RWEStaging,StudiesStaging",,,,,
Dataset mappings,,order,int,,,,,,,,,Order in which table ETLs should be executed for this source-target combination,"DataCatalogueFlat,CohortsStaging,RWEStaging,StudiesStaging",,,,,
Dataset mappings,,description,text,,,,,,,,,Human readible description of the mapping,"DataCatalogueFlat,CohortsStaging,RWEStaging,StudiesStaging",,,,,
Dataset mappings,,syntax,text,,,,,,,,,"Formal definition of the mapping, ideally in executable code","DataCatalogueFlat,CohortsStaging,RWEStaging,StudiesStaging",,,,,
Datasets,,,,,,,,,,,,Definition of a dataset,"DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging,UMCGCohortsStaging,UMCUCohorts",,,,,
Datasets,,resource,ref,1,TRUE,,Resources,,,,,Resource of which the dataset is part,"DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging,UMCGCohortsStaging,UMCUCohorts",,,,,
Datasets,,name,,1,TRUE,,,,,,,Unique dataset name in the model,"DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging,UMCGCohortsStaging,UMCUCohorts",,,,,
Datasets,,label,,,,,,,,,,Short human readable description,"DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging,UMCGCohortsStaging,UMCUCohorts",,,,,
Datasets,,dataset type,ontology_array,,,CatalogueOntologies,Dataset types,,,,,"Defines the type of dataset, e.g. genomic","DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging,UMCGCohortsStaging,UMCUCohorts",,,,,
Datasets,,unit of observation,ontology,,,CatalogueOntologies,Observation targets,,,,,Defines what each record in this table describes,"DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging,UMCGCohortsStaging,UMCUCohorts",,,,,
Datasets,,keywords,ontology_array,,,CatalogueOntologies,Keywords,,,,,Enables grouping of table list by topic and to display tables in a tree,"DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging,UMCGCohortsStaging,UMCUCohorts",,,,,
Datasets,,description,text,,,,,,,,,Description of the role/function of this table,"DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging,UMCGCohortsStaging,UMCUCohorts",,,,,
Datasets,,number of rows,int,,,,,,,,,Count of the number of records in this table,"DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging,UMCGCohortsStaging,UMCUCohorts",,,,,
Datasets,,mapped to,refback,,,,Dataset mappings,,source dataset,,,Common dataset models this dataset has been mapped into,"DataCatalogueFlat,CohortsStaging,RWEStaging,StudiesStaging",,,,,
Datasets,,mapped from,refback,,,,Dataset mappings,,target dataset,,,Source datasets that have been mapped to this harmonised dataset,"DataCatalogueFlat,CohortsStaging,RWEStaging,StudiesStaging",,,,,
Datasets,,since version,,,,,,,,,,"When this dataset was introduced, if applicable","DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging,UMCGCohortsStaging,UMCUCohorts",,,,,
Datasets,,until version,,,,,,,,,,"When this dataset was removed, if applicable","DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging,UMCGCohortsStaging,UMCUCohorts",,,,,
Collection events,,,,,,,,,,,,Definition of a collection event for a resource,"DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging,StudiesStaging,UMCUCohorts,INTEGRATE",,,,,
Collection events,,resource,ref,1,TRUE,,Resources,,,,dcterms:source,Resource this collection event is part of,"DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging,StudiesStaging,UMCUCohorts,INTEGRATE",,,,,
Collection events,,name,,1,TRUE,,,,,,dcterms:title,Name of the collection event,"DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging,StudiesStaging,UMCUCohorts,INTEGRATE",,,,,
Collection events,,pid,,,,,,,,,dcterms:identifier,Persistent identifier for this collection event,"DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging,UMCUCohorts,INTEGRATE",,,,,
Collection events,,description,text,,,,,,,,dcterms:description,Description of the collection event,"DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging,StudiesStaging,UMCUCohorts,INTEGRATE",,,,,
Collection events,,subpopulations,ref_array,,,,Subpopulations,resource,,,dcterms:source,Subpopulations that are targetted by this collection event,"DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging,UMCUCohorts,INTEGRATE",,,,,
Collection events,,keywords,string_array,,,,,,,,dcat:keyword,Keywords to increase findability of this collection event. Try to use words that are not used in the description. Keywords are not displayed on the collection event page,"DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging,UMCUCohorts,INTEGRATE",,,,,
Collection events,,start date,date,,,,,,,,dcat:startDate,Start date of data collection,"DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging,StudiesStaging,UMCUCohorts,INTEGRATE",,,,,
Collection events,,end date,date,,,,,,,,dcat:endDate,End date of data collection. Leave empty if collection is ongoing,"DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging,StudiesStaging,UMCUCohorts,INTEGRATE",,,,,
Collection events,,age groups,ontology_array,,,CatalogueOntologies,Age groups,,,,,Age groups included in this data collection event,"DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging,StudiesStaging,UMCUCohorts,INTEGRATE",,,,,
Collection events,,number of participants,int,,,,,,,,,Number of participants sampled in this data collection event,"DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging,StudiesStaging,UMCUCohorts,INTEGRATE",,,,,
Collection events,,areas of information,ontology_array,,,CatalogueOntologies,Areas of information cohorts,,,,,Areas of information that were extracted in this data collection event,"DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging,StudiesStaging,UMCUCohorts,INTEGRATE",,,,,
Collection events,,data categories,ontology_array,,,CatalogueOntologies,Data categories,,,,,Methods of data collection used in this collection event,"DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging,StudiesStaging,UMCUCohorts,INTEGRATE",,,,,
Collection events,,sample categories,ontology_array,,,CatalogueOntologies,Sample categories,,,,,Samples that were collected in this collection event,"DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging,StudiesStaging,UMCUCohorts,INTEGRATE",,,,,
Collection events,,standardized tools,ontology_array,,,CatalogueOntologies,Standardized tools,,,,,"Standardized tools, e.g. surveys, questionnaires, instruments used to collect data for this collection event","DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging,StudiesStaging,UMCUCohorts,INTEGRATE",,,,,
Collection events,,standardized tools other,text,,,,,,,,,"If 'other', please specify","DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging,StudiesStaging,UMCUCohorts,INTEGRATE",,,,,
Collection events,,core variables,string_array,,,,,,,,,Name 10-20 relevant variables that were collected in this collection event,"DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging,StudiesStaging,UMCUCohorts,INTEGRATE",,,,,
Collection events,,contact point,ref,,,,Contacts,resource,,,dcat:contactPoint,Contact point for this collection event. Value copied from Resources table,DataCatalogueFlat,,,,,
Collection events,,publisher,ref,,,,Organisations,resource,,,dcterms:publisher,Organisation that published this collection event. Value copied from Resources table,DataCatalogueFlat,,,,,
Collection events,,creator,ref_array,,,,Organisations,resource,,,dcterms:creator,Organisation(s) that created this collection event. Value copied from Resources table,DataCatalogueFlat,,,,,
Collection events,,issued,datetime,,,,,,,,dcterms:issued, When the data for this collection event was first published,"DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging,StudiesStaging,UMCUCohorts,INTEGRATE",,,,,
Collection events,,modified,datetime,,,,,,,,dcterms:modified, When the data for this collection event was last modified,"DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging,StudiesStaging,UMCUCohorts,INTEGRATE",,,,,
Collection events,,theme,ontology_array,,,CatalogueOntologies,Themes,,,,dcat:theme,"A main category of the collection event. A collection event can have multiple themes, for health data theme must at least take the value 'Health', which is set as a default","DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging,UMCUCohorts,INTEGRATE",,,,,= [{name: 'Health'}]
Collection events,,access rights,ontology,,,CatalogueOntologies,Access rights,,,,dcterms:accessRights,"Information that indicates whether the resource is publicly accessible, has access restrictions or is not public. A default is set for non-public access, because most health datasets contain sensitive information and rules and licenses apply to get access","DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging,UMCUCohorts,INTEGRATE",,,,,= {name: 'Non public'}
Collection events,,applicable legislation,ontology_array,,,CatalogueOntologies,Legislations,,,,dcatap:applicableLegislation,"The legislation that mandates the creation or management of the collection event. For health datasets, the value must include the data governance act, which is set as a default. URI's to other legislations may be included","DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging,UMCUCohorts,INTEGRATE",,,,,= [{name: 'Data Governance Act'}]
Collection events,,provenance statement,text,,,,,,,,dct:provenance,"A statement of any changes in ownership and custody of a resource since its creation that are significant for its authenticity, integrity, and interpretation","DataCatalogueFlat,EMA",,,,,
Profiles,,,,,,,,,,,,DataCatalogueFlat,DataCatalogueFlat,,,,,
Profiles,,DataCatalogueFlat,,,,,,,,,,DataCatalogueFlat,DataCatalogueFlat,,,,,
External identifiers,,,,,,,,,,,,External identifier(s) for this resource,"DataCatalogueFlat,EMA,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging,UMCGCohortsStaging,UMCUCohorts,INTEGRATE",,,,,
External identifiers,,resource,ref,1,TRUE,,Resources,,,,,Resource that this external identifier belongs to,"DataCatalogueFlat,EMA,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging,UMCGCohortsStaging,UMCUCohorts,INTEGRATE",,,,,
External identifiers,,identifier,text,1,TRUE,,,,,,,External identifier,"DataCatalogueFlat,EMA,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging,UMCGCohortsStaging,UMCUCohorts,INTEGRATE",,,,,
External identifiers,,external identifier type,ontology,,,CatalogueOntologies,External identifier types,,,,,External identifier type,"DataCatalogueFlat,EMA,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging,UMCGCohortsStaging,UMCUCohorts,INTEGRATE",,,,,
External identifiers,,external identifier type other,text,,,,,,,,,"If 'other', enter external identifier type","DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging,UMCGCohortsStaging,UMCUCohorts,INTEGRATE",,,,,
Version,,,,,,,,,,,,7.4.0,"DataCatalogueFlat,EMA,RWEStaging,CohortsStaging,StudiesStaging,UMCGCohortsStaging,NetworksStaging,UMCUCohorts,INTEGRATE",,,,,
Samplesets,,,,,,,,,,,,Definition of a sample set,"DataCatalogueFlat,CohortsStaging,RWEStaging,StudiesStaging",,,,,
Samplesets,,resource,ref,1,TRUE,,Resources,,,,,Resouce that these samples are part of,"DataCatalogueFlat,CohortsStaging,RWEStaging,StudiesStaging",,,,,
Samplesets,,name,,1,TRUE,,,,,,,Sample set name,"DataCatalogueFlat,CohortsStaging,RWEStaging,StudiesStaging",,,,,
Samplesets,,sample types,ontology_array,,,CatalogueOntologies,Sample types,,,,,Defines the types of samples in the sample set,"DataCatalogueFlat,CohortsStaging,RWEStaging,StudiesStaging",,,,,
Endpoint,,,,,,,,,,,schema:Service,General information describing an endpoint,"Beacon v2,FAIRDataPoint,DataCatalogueFlat",,,,,
Endpoint,,id,string,1,TRUE,,,,,,"schema:identifier,dcterms:identifier","A unique proper name or character sequence that identifies this particular person. In Beacon v2: id, in FAIR Genomes: PersonalIdentifier. In RD3: subjectID.","Beacon v2,FAIRDataPoint,DataCatalogueFlat",,,,,
Endpoint,,type,hyperlink_array,,TRUE,,,,,,rdf:type,This row is an instance of one or more of these class(es) other than the Endpoint table.,"FAIRDataPoint,DataCatalogueFlat",,,,,
Endpoint,,name,string_array,,TRUE,,,,,,dcterms:title,A name given to the resource.,"Beacon v2,FAIRDataPoint,DataCatalogueFlat",,,,,
Endpoint,,version,text,,,,,,,,dcterms:hasVersion,An account of the resource version.,DataCatalogueFlat,,,,,
Endpoint,,description,text,,,,,,,,dcterms:description,An account of the resource.,"Beacon v2,FAIRDataPoint,DataCatalogueFlat",,,,,
Endpoint,,publisher,ref_array,,TRUE,,Agents,,,,dcterms:publisher,An entity responsible for making the resource available.,"Beacon v2,FAIRDataPoint,DataCatalogueFlat",,,,,
Endpoint,,language,hyperlink_array,,,,,,,,dcterms:language,A language of the resource.,"FAIRDataPoint,DataCatalogueFlat",,,,,
Endpoint,,license,hyperlink,,TRUE,,,,,,dcterms:license,A legal document giving official permission to do something with the resource.,"FAIRDataPoint,DataCatalogueFlat",,,,,
Endpoint,,conformsTo,hyperlink,,TRUE,,,,,,dcterms:conformsTo,An established standard to which the described resource conforms.,"FAIRDataPoint,DataCatalogueFlat",,,,,
Endpoint,,rights,hyperlink_array,,,,,,,,dcterms:rights,Information about rights held in and over the resource.,"FAIRDataPoint,DataCatalogueFlat",,,,,
Endpoint,,accessRights,hyperlink_array,,,,,,,,dcterms:accessRights,Information about who access the resource or an indication of its security status.,"FAIRDataPoint,DataCatalogueFlat",,,,,
Endpoint,,contact,ref,,,,Contacts,,,,dcat:contactPoint,Relevant contact information for the cataloged resource,DataCatalogueFlat,,,,,
Endpoint,,keyword,string_array,,,,,,,,dcat:keyword,A keyword or tag describing a resource.,"FAIRDataPoint,DataCatalogueFlat",,,,,
Endpoint,,theme,hyperlink_array,,,,,,,,dcat:theme,A main category of the resource. A resource can have multiple themes.,"FAIRDataPoint,DataCatalogueFlat",,,,,
Endpoint,,endPointDescription,hyperlink_array,,,,,,,,dcat:endpointDescription,"A description of the service end-point, including its operations, parameters etc.","FAIRDataPoint,DataCatalogueFlat",,,,,
Endpoint,,metadataCatalog,ref_array,,TRUE,,Resources,,,,fdp-o:metadataCatalog,"With the definition of the FDP as a type of metadata service that serves metadata catalogs, the relation between the Metadata Service and dcat:Catalog is represented by this predicate.",DataCatalogueFlat,,,,,
Endpoint,,conformsToFdpSpec,hyperlink,,TRUE,,,,,,fdp-o:conformsToFdpSpec,The relation should point to an URI that contains the version of the FDP specifications for which this instance of the FDP conforms to,DataCatalogueFlat,,,,,
Endpoint,,EJP_RD_personalData,string,,,,,,,,ejp:personalData,"Set to true if the resource onboarded to the EJP-RD Virtual Platform contains personal data, personal data meaning data related to identified or identifiable persons (as per GDPR definition), otherwise false. Must be String as workaround for current FDP reference implementation limitations.","FAIRDataPoint,DataCatalogueFlat",,,,,
Endpoint,,EJP_RD_vpConnection,hyperlink,,,,,,,,ejp:vpConnection,This property must be attached to every entity that you wish the EJP-RD Virtual Platform to explore.,"FAIRDataPoint,DataCatalogueFlat",,,,,
Endpoint,,issued,datetime,,,,,,,,"dcterms:issued,fdp-o:metadataIssued",,DataCatalogueFlat,,,,,
Endpoint,,modified,datetime,,,,,,,,"dcterms:modified,fdp-o:metadataModified",,DataCatalogueFlat,,,,,
Resources,,,,,,,,,,,ldp:DirectContainer,Resource of data and/or samples. Use 'resource type' to specify,"DataCatalogueFlat,EMA",,,,,
Resources,,rdf type,hyperlink,,,,,,,,rdf:type,The DCAT type such as dcat:Catalog as computed field,"DataCatalogueFlat,EMA",,,type.some(item => item.name === 'Catalogue') ? 'http://www.w3.org/ns/dcat#Catalog' : type.some(item => item.name === 'Network') ?  undefined : 'http://www.w3.org/ns/dcat#Dataset',,
Resources,,fdp endpoint,ref,,,,Endpoint,,,,ldp:membershipResource,FDP endpoint to associated with the catalogue,"DataCatalogueFlat,EMA",,,,,= {id: 'main_fdp'}
Resources,,ldp membership relation,hyperlink,,,,,,,,ldp:hasMemberRelation,LDP membership relation,"DataCatalogueFlat,EMA",,,,,https://w3id.org/fdp/fdp-o#metadataCatalog
Resources,,overview,heading,,,,,,,,,General information,"DataCatalogueFlat,EMA,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging,UMCGCohortsStaging,UMCUCohorts,INTEGRATE",,,,,
Resources,,hricore,bool,,,,,,,,,"Do you want your metadata to be compatible with HRICore v2.0.1, so that the metadata can be shared with the Dutch National Health Data Catalogue?","DataCatalogueFlat,EMA,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging,UMCGCohortsStaging,UMCUCohorts,INTEGRATE",,,,,
Resources,,id,,1,TRUE,,,,,,,Internal identifier,"DataCatalogueFlat,EMA,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging,UMCGCohortsStaging,UMCUCohorts,INTEGRATE",,,,,
Resources,,pid,,2,,,,,,,dcterms:identifier,Persistent identifier,"DataCatalogueFlat,EMA,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging,UMCGCohortsStaging,UMCUCohorts,INTEGRATE",,,,,
Resources,,name,text,3,TRUE,,,,,,dcterms:title,Name used in international projects,"DataCatalogueFlat,EMA,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging,UMCGCohortsStaging,UMCUCohorts,INTEGRATE",,,,,
Resources,,local name,,,,,,,,,rdfs:label,"If different from above, name in the national language","DataCatalogueFlat,CohortsStaging,RWEStaging",,,,,
Resources,,acronym,,,,,,,,,dcterms:alternative,"Acronym, if applicable","DataCatalogueFlat,EMA,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging,UMCGCohortsStaging,UMCUCohorts,INTEGRATE",,,,,
Resources,,type,ontology_array,,TRUE,CatalogueOntologies,Resource types,,,,,"Type of resource, e.g. registry, cohort, biobank","DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging,UMCGCohortsStaging,UMCUCohorts,INTEGRATE",,,,,
Resources,,catalogue type,ontology,,,CatalogueOntologies,CatalogueTypes,,,,,Type of catalogue,"DataCatalogueFlat,NetworksStaging",type?.some(item => item.name === 'Catalogue'),,,,
Resources,,main catalogue,bool,,,,,,,,,Is this the main catalogue of this catalogue server?,"DataCatalogueFlat,NetworksStaging",type?.some(item => item.name === 'Catalogue'),,,,
Resources,,cohort type,ontology_array,,,CatalogueOntologies,Cohort study types,,,,,Type of cohort,"DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging,UMCUCohorts,INTEGRATE",type?.some(item => item.name === 'Cohort study'),,,,
Resources,,clinical study type,ontology_array,,,CatalogueOntologies,Clinical study types,,,,,Type of clinical study,"DataCatalogueFlat,EMA",type?.some(item => item.name === 'Clinical trial'),,,,
Resources,,registry or health record type,ontology_array,,,CatalogueOntologies,Datasource types,,,,,Type of registry or health record,"DataCatalogueFlat,EMA,RWEStaging",type?.some(item => item.name === 'Data source' | item.name === 'Databank' | item.name === 'Registry'  | item.name === 'Health records'),,,,
Resources,,network type,ontology_array,,,CatalogueOntologies,Network types,,,,,Type of network,"DataCatalogueFlat,NetworksStaging",type?.some(item => item.name === 'Network'),,,,
Resources,,website,hyperlink,,,,,,,,"dcat:landingPage,foaf:homepage",Link to the website or homepage,"DataCatalogueFlat,EMA,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging,UMCGCohortsStaging,UMCUCohorts,INTEGRATE",,,,,
Resources,,description,text,,if(hricore === true) 'This field is mandatory for HRICore compatibility',,,,,,dcterms:description,Short description,"DataCatalogueFlat,EMA,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging,UMCGCohortsStaging,UMCUCohorts,INTEGRATE",,,,,
